[(0,1),
(1,4),
(2,9),
(3,15),
(4,23),
(5,32),
(6,42),
(7,55),
(8,71),
(9,88),
(10,104),
(11,125),
(12,138),
(13,164),
(14,184),
(15,213),
(16,236),
(17,266),
(18,293),
(19,329),
(20,359),
(21,407),
(22,429),
(23,485),
(24,508),
(25,575),
(26,595),
(27,660),
(28,685),
(29,756),
(30,777),
(31,854),
(32,865),
(33,960),
(34,970),
(35,1074),
(36,1086),
(37,1205),
(38,1217),
(39,1333),
(40,1354),
(41,1467),
(42,1496),
(43,1602),
(44,1637),
(45,1741),
(46,1783),
(47,1896),
(48,1942),
(49,2068),
(50,2106),
(51,2240),
(52,2271),
(53,2418),
(54,2450),
(55,2598),
(56,2636),
(57,2780),
(58,2815),
(59,2973),
(60,3015),
(61,3178),
(62,3265),
(63,3442),
(64,3532),
(65,3703),
(66,3796),
(67,3971),
(68,4068),
(69,4207),
(70,4301),
(71,4449),
(72,4544),
(73,4694),
(74,4792),
(75,4939),
(76,5042),
(77,5200),
(78,5319),
(79,5465),
(80,5580),
(81,5719),
(82,5833),
(83,5991),
(84,6111),
(85,6267),
(86,6398),
(87,6556),
(88,6698),
(89,6848),
(90,6988),
(91,7160),
(92,7286),
(93,7483),
(94,7606),
(95,7795),
(96,7925),
(97,8109),
(98,8259),
(99,8437),
(100,8593),
(101,8769),
(102,8940),
(103,9119),
(104,9286),
(105,9452),
(106,9633),
(107,9799),
(108,9987),
(109,10156),
(110,10352),
(111,10537),
(112,10712),
(113,10922),
(114,11093),
(115,11313),
(116,11471),
(117,11704),
(118,11869),
(119,12100),
(120,12273),
(121,12508),
(122,12689),
(123,12912),
(124,13108),
(125,13321),
(126,13533),
(127,13744),
(128,13954),
(129,14156),
(130,14364),
(131,14592),
(132,14793),
(133,15027),
(134,15242),
(135,15464),
(136,15695),
(137,15917),
(138,16166),
(139,16393),
(140,16664),
(141,16872),
(142,17141),
(143,17327),
(144,17607),
(145,17812),
(146,18089),
(147,18298),
(148,18592),
(149,18826),
(150,19092),
(151,19330),
(152,19620),
(153,19847),
(154,20118),
(155,20351),
(156,20658),
(157,20867),
(158,21169),
(159,21390),
(160,21714),
(161,21915),
(162,22250),
(163,22418),
(164,22786),
(165,22944),
(166,23336),
(167,23473),
(168,23904),
(169,24051),
(170,24460),
(171,24638),
(172,25024),
(173,25221),
(174,25585),
(175,25796),
(176,26145),
(177,26356),
(178,26744),
(179,26963),
(180,27366),
(181,27568),
(182,27973),
(183,28151),
(184,28592),
(185,28765),
(186,29210),
(187,29385),
(188,29828),
(189,30002),
(190,30461),
(191,30649),
(192,31115),
(193,31385),
(194,31909),
(195,32193),
(196,32712),
(197,32987),
(198,33504),
(199,33783),
(200,34224),
(201,34453),
(202,34898),
(203,35127),
(204,35569),
(205,35801),
(206,36240),
(207,36477),
(208,36938),
(209,37208),
(210,37640),
(211,37910),
(212,38318),
(213,38581),
(214,39011),
(215,39296),
(216,39710),
(217,40017),
(218,40436),
(219,40745),
(220,41152),
(221,41455),
(222,41918),
(223,42181),
(224,42690),
(225,42943),
(226,43437),
(227,43704),
(228,44166),
(229,44476),
(230,44919),
(231,45246),
(232,45671),
(233,46043),
(234,46466),
(235,46821),
(236,47216),
(237,47600),
(238,47994),
(239,48395),
(240,48781),
(241,49198),
(242,49610),
(243,49986),
(244,50438),
(245,50803),
(246,51274),
(247,51610),
(248,52102),
(249,52446),
(250,52930),
(251,53291),
(252,53778),
(253,54154),
(254,54617),
(255,55022),
(256,55457),
(257,55888),
(258,56316),
(259,56741),
(260,57149),
(261,57566),
(262,58021),
(263,58420),
(264,58883),
(265,59307),
(266,59743),
(267,60196),
(268,60630),
(269,61115),
(270,61553),
(271,62078),
(272,62478),
(273,62995),
(274,63354),
(275,63888),
(276,64278),
(277,64803),
(278,65198),
(279,65756),
(280,66197),
(281,66693),
(282,67139),
(283,67671),
(284,68103),
(285,68589),
(286,69032),
(287,69579),
(288,69977),
(289,70516),
(290,70933),
(291,71510),
(292,71891),
(293,72484),
(294,72809),
(295,73450),
(296,73756),
(297,74436),
(298,74698),
(299,75441),
(300,75723),
(301,76425),
(302,76760),
(303,77419),
(304,77784),
(305,78406),
(306,78793),
(307,79387),
(308,79767),
(309,80430),
(310,80822),
(311,81502),
(312,81868),
(313,82544),
(314,82869),
(315,83604),
(316,83918),
(317,84660),
(318,84972),
(319,85714),
(320,86027),
(321,86787),
(322,87121),
(323,87890),
(324,88343),
(325,89214),
(326,89692),
(327,90559),
(328,91016),
(329,91875),
(330,92336),
(331,93079),
(332,93443),
(333,94185),
(334,94548),
(335,95282),
(336,95648),
(337,96379),
(338,96750),
(339,97514),
(340,97935),
(341,98653),
(342,99078),
(343,99755),
(344,100167),
(345,100869),
(346,101319),
(347,101991),
(348,102474),
(349,103154),
(350,103630),
(351,104294),
(352,104760),
(353,105514),
(354,105914),
(355,106735),
(356,107118),
(357,107917),
(358,108321),
(359,109061),
(360,109531),
(361,110239),
(362,110737),
(363,111411),
(364,111984),
(365,112651),
(366,113194),
(367,113818),
(368,114405),
(369,115027),
(370,115641),
(371,116244),
(372,116882),
(373,117521),
(374,118098),
(375,118792),
(376,119351),
(377,120073),
(378,120587),
(379,121338),
(380,121861),
(381,122598),
(382,123147),
(383,123886),
(384,124457),
(385,125160),
(386,125774),
(387,126431),
(388,127081),
(389,127726),
(390,128366),
(391,128980),
(392,129606),
(393,130288),
(394,130885),
(395,131577),
(396,132210),
(397,132860),
(398,133535),
(399,134181),]
