[(0,1),
(1,2),
(2,4),
(3,6),
(4,9),
(5,13),
(6,16),
(7,22),
(8,30),
(9,41),
(10,50),
(11,63),
(12,74),
(13,89),
(14,99),
(15,115),
(16,129),
(17,145),
(18,165),
(19,192),
(20,216),
(21,234),
(22,261),
(23,294),
(24,326),
(25,353),
(26,395),
(27,427),
(28,460),
(29,491),
(30,537),
(31,574),
(32,605),
(33,644),
(34,689),
(35,740),
(36,784),
(37,846),
(38,894),
(39,944),
(40,989),
(41,1053),
(42,1107),
(43,1146),
(44,1196),
(45,1256),
(46,1324),
(47,1383),
(48,1464),
(49,1528),
(50,1594),
(51,1653),
(52,1735),
(53,1805),
(54,1853),
(55,1914),
(56,1988),
(57,2072),
(58,2145),
(59,2244),
(60,2324),
(61,2406),
(62,2479),
(63,2579),
(64,2665),
(65,2722),
(66,2794),
(67,2882),
(68,2982),
(69,3069),
(70,3186),
(71,3282),
(72,3380),
(73,3467),
(74,3585),
(75,3687),
(76,3753),
(77,3836),
(78,3938),
(79,4054),
(80,4155),
(81,4290),
(82,4402),
(83,4516),
(84,4617),
(85,4753),
(86,4871),
(87,4946),
(88,5040),
(89,5156),
(90,5288),
(91,5403),
(92,5556),
(93,5684),
(94,5814),
(95,5929),
(96,6083),
(97,6217),
(98,6301),
(99,6406),
(100,6536),
(101,6684),
(102,6813),
(103,6984),
(104,7128),
(105,7274),
(106,7403),
(107,7575),
(108,7725),
(109,7818),
(110,7934),
(111,8078),
(112,8242),
(113,8385),
(114,8574),
(115,8734),
(116,8896),
(117,9039),
(118,9229),
(119,9395),
(120,9497),
(121,9624),
(122,9782),
(123,9962),
(124,10119),
(125,10326),
(126,10502),
(127,10680),
(128,10837),
(129,11045),
(130,11227),
(131,11338),
(132,11476),
(133,11648),
(134,11844),
(135,12015),
(136,12240),
(137,12432),
(138,12626),
(139,12797),
(140,13023),
(141,13221),
(142,13341),
(143,13490),
(144,13676),
(145,13888),
(146,14073),
(147,14316),
(148,14524),
(149,14734),
(150,14919),
(151,15163),
(152,15377),
(153,15506),
(154,15666),
(155,15866),
(156,16094),
(157,16293),
(158,16554),
(159,16778),
(160,17004),
(161,17203),
(162,17465),
(163,17695),
(164,17833),
(165,18004),
(166,18218),
(167,18462),
(168,18675),
(169,18954),
(170,19194),
(171,19436),
(172,19649),
(173,19929),
(174,20175),
(175,20322),
(176,20504),
(177,20732),
(178,20992),
(179,21219),
(180,21516),
(181,21772),
(182,22030),
(183,22257),
(184,22555),
(185,22817),
(186,22973),
(187,23166),
(188,23408),
(189,23684),
(190,23925),
(191,24240),
(192,24512),
(193,24786),
(194,25027),
(195,25343),
(196,25621),
(197,25786),
(198,25990),
(199,26246),
(200,26538),
(201,26793),
(202,27126),
(203,27414),
(204,27704),
(205,27959),
(206,28293),
(207,28587),
(208,28761),
(209,28976),
(210,29246),
(211,29554),
(212,29823),
(213,30174),
(214,30478),
(215,30784),
(216,31053),
(217,31405),
(218,31715),
(219,31898),
(220,32124),
(221,32408),
(222,32732),
(223,33015),
(224,33384),
(225,33704),
(226,34026),
(227,34309),
(228,34679),
(229,35005),
(230,35197),
(231,35434),
(232,35732),
(233,36072),
(234,36369),
(235,36756),
(236,37092),
(237,37430),
(238,37727),
(239,38115),
(240,38457),]
